Codigo,Titulo_EN,Titulo_ES,Pasos_EN,Pasos_ES,Documento_PDF,Pagina
F1,Watchdog,Falla de Watchdog,This fault is normally related to an unsuccessful process of software upgrade or in those cases when the response to one of the chips is out of time. Download files and contact Power Electronics.,Esta falla normalmente está relacionada con un proceso fallido de actualización de software o cuando la respuesta de uno de los chips está fuera de tiempo. Descargue los archivos y contacte a Power Electronics.,manual_hem3.pdf,26
F46,Data Fault,Falla de Datos,The system has detected parameters out of range. Download the required files and contact Power Electronics.,El sistema ha detectado parámetros fuera de rango. Descargue los archivos requeridos y contacte a Power Electronics.,manual_hem3.pdf,26
F47,Watchdog uP,Watchdog uP,There was a process that did not end on time or with an error in the microprocessor. Download the required files including the F47 report and contact Power Electronics.,Hubo un proceso que no terminó a tiempo o con un error en el microprocesador. Descargue los archivos requeridos incluyendo el reporte F47 y contacte a Power Electronics.,manual_hem3.pdf,26
F10,Comms SCI FPGA-DSP,Comms SCI FPGA-DSP,The FPGA has not been configured correctly. This is due to a communication problem between DSP and central FPGA. Contact Power Electronics.,El FPGA no se ha configurado correctamente debido a un problema de comunicación entre el DSP y el FPGA central. Contacte a Power Electronics.,manual_hem3.pdf,26
F59,Module SW Mismatch,Desajuste de SW del Módulo,This fault occurs when not all modules have the same software version. Contact Power Electronics.,Esta falla ocurre cuando no todos los módulos tienen la misma versión de software. Contacte a Power Electronics.,manual_hem3.pdf,26
F64,Invalid MAC,MAC Inválida,This fault occurs when the MAC address entered is invalid. Contact Power Electronics.,Esta falla ocurre cuando la dirección MAC ingresada es inválida. Contacte a Power Electronics.,manual_hem3.pdf,26
F113,CRC,CRC,This fault occurs when four consecutive frames with invalid CRC have been detected. Contact Power Electronics.,Esta falla ocurre cuando se han detectado cuatro tramas consecutivas con CRC inválido. Contacte a Power Electronics.,manual_hem3.pdf,26
F125,Diff Iac mod run,Dif Iac mod run,This fault appears when the zero sequence current calculated by the module is higher than the value set from PowerCommsV for more than 500us. Contact Power Electronics.,Esta falla aparece cuando la corriente de secuencia cero calculada por el módulo es mayor que el valor configurado en PowerCommsV por más de 500us. Contacte a Power Electronics.,manual_hem3.pdf,27
F129,Module Isolation,Aislamiento del Módulo,During diagnosis an insulation fault was detected by switching one of the modules with open DU and after no insulation fault was obtained by measuring AC without switching. Contact Power Electronics.,Durante el diagnóstico se detectó una falla de aislamiento al conmutar uno de los módulos con DU abierto y luego de no obtener falla de aislamiento midiendo AC sin conmutar. Contacte a Power Electronics.,manual_hem3.pdf,27
F131,Faults limit exceeded,Límite de fallas excedido,This fault appears when the module has given more than N faults in the configured time and the DSP has locked it. Contact Power Electronics.,Esta falla aparece cuando el módulo ha dado más de N fallas en el tiempo configurado y el DSP lo ha bloqueado. Contacte a Power Electronics.,manual_hem3.pdf,27
F190,Combined F-V,Combinado F-V,This fault occurs when one of the set protection thresholds has been exceeded. Download files and contact Power Electronics.,Esta falla ocurre cuando uno de los umbrales de protección configurados ha sido excedido. Descargue los archivos y contacte a Power Electronics.,manual_hem3.pdf,27
F210,uC-FPGA Comms,uC-FPGA Comms,Communication between the MCU and the FPGA on the central control board has failed. Download files and contact Power Electronics.,La comunicación entre el MCU y el FPGA en la tarjeta de control central ha fallado. Descargue los archivos y contacte a Power Electronics.,manual_hem3.pdf,27
F226,IMI Hardware,Hardware IMI,The hardware of the insulation monitoring device is not compatible with the number of modules in the inverter. Download files and contact Power Electronics.,El hardware del dispositivo de monitoreo de aislamiento no es compatible con el número de módulos en el inversor. Descargue los archivos y contacte a Power Electronics.,manual_hem3.pdf,27
F235,T/H sensors comms,Comms sensores T/H,This fault appears when the communications with the temperature and humidity sensors of all the inverter boards fail. Download files and contact Power Electronics.,Esta falla aparece cuando fallan las comunicaciones con los sensores de temperatura y humedad de todas las tarjetas del inversor. Descargue los archivos y contacte a Power Electronics.,manual_hem3.pdf,27
F236,DU sensor comms lost,Pérdida comms sensor DU,This fault appears when the communications with the temperature and humidity sensors of the DUs fail. Download files and contact Power Electronics.,Esta falla aparece cuando fallan las comunicaciones con los sensores de temperatura y humedad de las DU. Descargue los archivos y contacte a Power Electronics.,manual_hem3.pdf,27
F41,GFDI,GFDI,The GFDI circuit breaker is in TRIP status. Verify voltages check for grounded points in the PV field and verify GFDI maneuver. Perform insulation measurements if necessary.,El interruptor GFDI está en estado TRIP. Verifique voltajes busque puntos a tierra en el campo fotovoltaico y verifique la maniobra del GFDI. Realice mediciones de aislamiento si es necesario.,manual_hem3.pdf,28
F45,General Isolation,Aislamiento General,The inverter has measured a ground resistance lower than the fault threshold. Check IMD calibration measure resistance of each channel and perform insulation tests on AC and DC sides.,El inversor ha medido una resistencia a tierra menor al umbral de falla. Verifique la calibración del IMD mida la resistencia de cada canal y realice pruebas de aislamiento en lados AC y DC.,manual_hem3.pdf,33
F63,IMD Earth Connection,Conexión a Tierra IMD,The inverter has detected that it is not grounded. Verify IMD calibration check insulation resistance and measure continuity between GFDI PV negative pole and ground.,El inversor ha detectado que no está conectado a tierra. Verifique la calibración del IMD revise la resistencia de aislamiento y mida la continuidad entre el GFDI polo negativo PV y tierra.,manual_hem3.pdf,36
F204,Fan impulsion MT,Impulsión ventilador MT,Communications loss with MV fans. Identify the fan verify RS485 communications and visually check protection circuit breakers of the fan zone.,Pérdida de comunicaciones con los ventiladores de MT. Identifique el ventilador verifique comunicaciones RS485 y revise visualmente los interruptores de protección de la zona de ventiladores.,manual_hem3.pdf,39
F205,Fan DU zone,Ventilador zona DU,Communications loss with DU zone fans. Identify the fan verify RS485 communications and visually check protection circuit breakers of the fan zone.,Pérdida de comunicaciones con los ventiladores de la zona DU. Identifique el ventilador verifique comunicaciones RS485 y revise visualmente los interruptores de protección de la zona de ventiladores.,manual_hem3.pdf,39
F206,Fan zone filter LC,Ventilador zona filtro LC,Communications loss with LC filter cabinet fan. Identify the fan verify RS485 communications and visually check protection circuit breakers of the fan zone.,Pérdida de comunicaciones con el ventilador del gabinete del filtro LC. Identifique el ventilador verifique comunicaciones RS485 y revise visualmente los interruptores de protección de la zona de ventiladores.,manual_hem3.pdf,39
F207,Fan zone modules,Ventilador zona módulos,Communications loss with module fans. Identify the fan verify RS485 communications and visually check protection circuit breakers of the fan zone.,Pérdida de comunicaciones con los ventiladores de los módulos. Identifique el ventilador verifique comunicaciones RS485 y revise visualmente los interruptores de protección de la zona de ventiladores.,manual_hem3.pdf,39
F228,Fan setpoint,Consigna de ventilador,One of the fans is not operating at the configured speed setpoint. Check software conditions verify parameters if fan was replaced and check for reported fan faults.,Uno de los ventiladores no está operando a la consigna de velocidad configurada. Revise las condiciones de software verifique los parámetros si el ventilador fue reemplazado y busque fallas reportadas por el ventilador.,manual_hem3.pdf,50
F230,Fan type not correct DU,Tipo de ventilador incorrecto DU,Fan type not correct in DU zone. Verify the manufacturer configured in group G11 or SV11. Ensure all fans in the zone are from the same supplier and run the search process.,Tipo de ventilador incorrecto en zona DU. Verifique el fabricante configurado en el grupo G11 o SV11. Asegúrese de que todos los ventiladores en la zona sean del mismo proveedor y ejecute el proceso de búsqueda.,manual_hem3.pdf,52
F231,Fan type not correct MT,Tipo de ventilador incorrecto MT,Fan type not correct in MV transformer cabinet. Verify the manufacturer configured in group G11 or SV11. Ensure all fans in the zone are from the same supplier and run the search process.,Tipo de ventilador incorrecto en gabinete del transformador de MT. Verifique el fabricante configurado en el grupo G11 o SV11. Asegúrese de que todos los ventiladores en la zona sean del mismo proveedor y ejecute el proceso de búsqueda.,manual_hem3.pdf,52
F232,Fan type not correct MOD,Tipo de ventilador incorrecto MOD,Fan type not correct in modules. Verify the manufacturer configured in group G11 or SV11. Ensure all fans in the zone are from the same supplier and run the search process.,Tipo de ventilador incorrecto en los módulos. Verifique el fabricante configurado en el grupo G11 o SV11. Asegúrese de que todos los ventiladores en la zona sean del mismo proveedor y ejecute el proceso de búsqueda.,manual_hem3.pdf,52
F118,Module Disabled,Módulo Deshabilitado,The system stopped a module after detecting a situation that needs checking. Check the LOG SYS of the SD to see if the module was disabled during diagnosis or by the customer/SCADA.,El sistema detuvo un módulo tras detectar una situación que debe ser revisada. Verifique el LOG SYS de la SD para ver si el módulo fue deshabilitado durante el diagnóstico o por el cliente/SCADA.,manual_hem3.pdf,54
F31,Selfdiagnosis fault,Falla de autodiagnóstico,The DC or AC self-diagnosis has not finished successfully before the timeout. Check faults and warning history using PowerCommsV. Verify IMD calibration and soft charge board status.,El autodiagnóstico de DC o AC no ha finalizado exitosamente antes del tiempo límite. Revise el historial de fallas y advertencias usando PowerCommsV. Verifique la calibración del IMD y el estado de la tarjeta de carga suave.,manual_hem3.pdf,57
F32,Error Mod selfdiagnosis,Error autodiagnóstico Mod,One or more modules have triggered a fault while the self-diagnosis was running. Check faults and warning history in PowerCommsV at the moment the fault occurred and proceed accordingly.,Uno o más módulos han activado una falla mientras se ejecutaba el autodiagnóstico. Revise el historial de fallas y advertencias en PowerCommsV en el momento en que ocurrió la falla y proceda en consecuencia.,manual_hem3.pdf,59
F51,PPC Comms,Comms PPC,The inverter stops receiving the heartbeat from the PPC or SCADA. Check Ethernet configuration to ensure the inverters IP is correct. Verify if the PPC Heartbeat Reg counter is increasing.,El inversor deja de recibir el latido del PPC o SCADA. Revise la configuración Ethernet para asegurar que la IP del inversor es correcta. Verifique si el contador PPC Heartbeat Reg está incrementando.,manual_hem3.pdf,60
F62,DU Comms,Comms DU,There is a communications problem between the central control board and the DU currents measurement board. Attempt to reload the software via Remote Upgrade. If it does not work the board software must be uploaded manually.,Hay un problema de comunicaciones entre la tarjeta de control central y la tarjeta de medición de corrientes DU. Intente recargar el software mediante Remote Upgrade. Si no funciona el software de la tarjeta debe cargarse manualmente.,manual_hem3.pdf,63
F157,Feedback AC breaker,Retroalimentación interruptor AC,Inconsistency between the AC circuit breaker switching order and the feedbacks. Visually check if there is any trip alarm activated in the circuit breaker relay. Check that there is no short circuit between boards in the inductance zone.,Inconsistencia entre la orden de conmutación del interruptor AC y las retroalimentaciones. Revise visualmente si hay alguna alarma de disparo activada en el relé del interruptor. Verifique que no haya cortocircuito entre tarjetas en la zona de inductancia.,manual_hem3.pdf,70
F158,Low pressure SF6,Baja presión SF6,The pressure switch indicating the SF6 gas pressure in the high-voltage switchgear has been activated. Check the pressure status of the SF6 located in the high voltage switchgear cabinet. Check that the connectors of the digital inputs are correctly connected.,El presostato que indica la presión del gas SF6 en la celda de alta tensión ha sido activado. Revise el estado de presión del SF6 ubicado en el gabinete de la celda de alta tensión. Verifique que los conectores de las entradas digitales estén correctamente conectados.,manual_hem3.pdf,85
F150,MV cell wrong state,Estado incorrecto celda MT,Inconsistency between the status of the MV switchgear and the inverter command. Open the switchgear door and check the status of the relay. Check the fault of the relay to see if it tripped autonomously for some reason.,Inconsistencia entre el estado de la celda de MT y el comando del inversor. Abra la puerta de la celda y verifique el estado del relé. Revise la falla del relé para ver si se disparó de forma autónoma por alguna razón.,manual_hem3.pdf,88
F159,Overtemperature DU,Sobretemperatura DU,The temperature read by the DU board has overcome the threshold configured internally. Remotely download the inverter data from the SD and check at the time of the fault if the DU temperature was at the value corresponding to the fault.,La temperatura leída por la tarjeta DU ha superado el umbral configurado internamente. Descargue remotamente los datos del inversor desde la SD y verifique en el momento de la falla si la temperatura de la DU estaba en el valor correspondiente a la falla.,manual_hem3.pdf,108
F164,Excessive Manoeuvres,Maniobras Excesivas,The DSP has detected 6 soft charge self-diagnosis or DC breaker maneuvers in 50 minutes or 15 C filter contactors maneuvers in 30 minutes. Remotely check the SD. See DSP and module statuses to check which of the manoeuvres has triggered the F164.,El DSP ha detectado 6 maniobras de carga suave autodiagnóstico o interruptor DC en 50 minutos o 15 maniobras de contactores de filtro C en 30 minutos. Revise remotamente la SD. Vea los estados del DSP y del módulo para revisar cuál de las maniobras activó la F164.,manual_hem3.pdf,110
F227,Fault Unknown,Falla Desconocida,The DSP or the FPGA have reported a fault unknown to the microcontroller. Check through PowerCommsV that the software versions of all devices are correct. Load the software again to make sure the package is OK.,El DSP o el FPGA han reportado una falla desconocida para el microcontrolador. Verifique a través de PowerCommsV que las versiones de software de todos los dispositivos sean correctas. Cargue el software nuevamente para asegurarse de que el paquete esté bien.,manual_hem3.pdf,111
F49,IMD Selfdiagnosis Error,Error Autodiagnóstico IMD,The IMDs periodic hardware self-diagnosis has reported an error. Attempt to reset the fault and run again the self-diagnosis. If the fault persists replace the board. Check for water marks or signs of condensation on any part of the inverter.,El autodiagnóstico periódico de hardware del IMD ha reportado un error. Intente restablecer la falla y ejecute nuevamente el autodiagnóstico. Si la falla persiste reemplace la tarjeta. Revise si hay marcas de agua o signos de condensación en cualquier parte del inversor.,manual_hem3.pdf,112
F3,SoftCharge,Carga Suave,The device has exceeded the soft charge device timeout while in soft charge. Check that the device is configured correctly so that the corresponding timeout is applied. Check the SD at Log2 the Vdc voltage of each module.,El dispositivo ha excedido el tiempo de espera del dispositivo de carga suave mientras estaba en carga suave. Verifique que el dispositivo esté configurado correctamente para que se aplique el tiempo de espera correspondiente. Revise en la SD el voltaje Vdc de cada módulo.,manual_hem3.pdf,113
F35,MT Premag,Premag MT,A problem occurred during premag of the MV transformer. Check if any fault has occurred in the SD card or in the history during the Blackstart state. If no fault has occurred it will be necessary to identify the part of the pre-magnetisation sequence in which the equipment has failed.,Ocurrió un problema durante la premagnetización del transformador de MT. Revise si ha ocurrido alguna falla en la tarjeta SD o en el historial durante el estado Blackstart. Si no ha ocurrido ninguna falla será necesario identificar la parte de la secuencia de premagnetización en la que el equipo ha fallado.,manual_hem3.pdf,121
